ID,Name,Phone,Email,StreetName,HouseNumber,Zipcode,City,CreatedOn,CreatedBy,LastUpdate,UpdateBy,Deleted,OpeningTime_ID
59,Oosterhout,0162433838,"",Heuveleind,13,4901LL,OOSTERHOUT,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
60,Oss,0412-655066,"",Klaphekkenstraat,5a,5341CH,OSS,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
61,Roosendaal,0165565300,"",Boulevard,8,4701EV,ROOSENDAAL,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
62,Tilburg Laarstraat,0134686866,"",Laarstraat,1,5025VJ,Tilburg,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
63,Tilburg Thomas van Aquinostraat,0134637638,"",Thomas van Aquinostraat,37,5042HA,TILBURG,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
64,Uden,0413245009,"",Oranjestraat,19/21,5401CB,UDEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
65,Valkenswaard,0404100110,"",Dommelseweg,5,5554NL,Valkenswaard,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
66,Veghel,0413320403,"",Bolkenplein,9/10,5461HH,VEGHEL,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
67,Veldhoven,0402556636,"",Burgemeester van Hoofflaan,67,5503BK,VELDHOVEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
68,Waalwijk,0416566088,"",St. Antoniusstraat,138,5144AG,WAALWIJK,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
69,Alkmaar,0722100160,"",Vondelstraat,61,1813BA,ALKMAAR,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
70,Amstelveen,0203457666,"",Hueseplein,4,1185HH,AMSTELVEEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
71,Den Helder,0223610040,"",Marsdiepstraat,172,1784AT,DEN HELDER,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
72,Diemen,0204162800,"",Burgemeester de Kievietstraat,13,1111GJ,DIEMEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
73,Haarlem Tesselschadeplein,0235400555,"",Tesselschadeplein,1,2026SV,HAARLEM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
74,Haarlem Zuid,0235404455,"",Nice Passage,10,2037AJ,HAARLEM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
75,Heemskerk,0251242226,"",Bachplein,21,1962CE,HEEMSKERK,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
76,Heerhugowaard,0725762940,"",Raadhuisstraat,14,1701EK,HEERHUGOWAARD,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
77,Hoofddorp,0235620388,"",Almkerkplein,2,2134DR,HOOFDDORP,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
78,Hoorn,0229210318,"",Veemarkt,45-47,1621JB,HOORN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
79,IJmuiden,0255545910,"",Kennemerlaan,77,1972EJ,IJMUIDEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
80,Noordwijk,0713610979,"",Kerkstraat,40,2201KN,NOORDWIJK,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
81,Purmerend,0299420009,"",Wormerplein,89,1442CD,PURMEREND,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
82,Zaandam,0756705501,"",Zuiddijk,45,1501CB,ZAANDAM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
83,Almelo,0546459996,"",Vincent van Goghplein,12,7606HP,ALMELO,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
84,Deventer,0570621100,"",Brinkgeverweg,80-82,7413AE,Deventer,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
85,Enschede,0534824000,"",Kuipersdijk,3B,7512CA,ENSCHEDE,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
86,Enschede West,0534300081,"",G.J. van Heekstraat,223,7521EE,ENSCHEDE,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
87,Hengelo,0742420203,"",Boekeloseweg,11,7553DK,HENGELO,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
88,Kampen,0383331517,"",Buitennieuwstraat,9,8261AP,KAMPEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
89,Zwolle,0384531339,"",Diezerkade,5,8021CW,ZWOLLE,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
90,Zwolle Bachplein,0384210080,"",Bachplein,8,8031HR,ZWOLLE,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
91,Rotterdam Hoogvliet,0102160075,"",In de Fuik,90,3192HD,Rotterdam,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
92,Rotterdam Mariniersweg,0104118070,"",Mariniersweg,70A,3011NS,ROTTERDAM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
93,Rotterdam Noord,010 4667411,"",Stadhoudersweg,72a,3039CG,Rotterdam,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
94,Rotterdam Schiebroek,0102184703,"",Peppelweg,93 A,3053GE,ROTTERDAM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
95,Rotterdam Vuurplaat,0102150370,"",Vuurplaat,328-330,3071AR,ROTTERDAM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
96,Rotterdam Zevenkamp,0102205151,"","Zevenkampsering,",303 B,3068HG,ROTTERDAM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
97,Rotterdam Zuidplein,010-3100700,"",Zuidplein,117,3083CN,Rotterdam,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
98,Amersfoort,0334220422,"",Prinses Julianaplein,3,3811NM,AMERSFOORT,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
99,Amersfoort Vathorst,0332588883,"",Wouda,11,3825MA,AMERSFOORT,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
100,Bussum,0356914377,"",De Clinge,1,1401EV,BUSSUM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
101,De Meern,0306667737,"",Zandweg,137,3453HA,De Meern,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
102,Hilversum,0356289888,"",Havenstraat,12,1211KL,HILVERSUM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
103,Houten,0306390830,"",Lange Schaft,13b,3991AP,HOUTEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
104,Maarssen,0346283008,"",Bisonspoor,1190,3605KX,MAARSSEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
105,Nieuwegein,0306072727,"",Nedereindseweg,7,3438AA,NIEUWEGEIN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
106,Soest,0356921783,"",Steenhoffstraat,16,3764BL,SOEST,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
107,Utrecht Adelaarstraat,0302430777,"",Adelaarstraat,69,3514CC,UTRECHT,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
108,Utrecht Marnixlaan,0302452170,"",Marnixlaan,21,3552HB,UTRECHT,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
109,Utrecht Rijnlaan,0302888712,"",Rijnlaan,6a,3522BN,UTRECHT,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
110,Veenendaal,0318517055,"",Nieuweweg,87,3905LH,Veenendaal,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
111,Woerden,0348411194,"",Leidsestraatweg,12,3443BV,WOERDEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
112,Zeist,0306932266,"",Montaubanstraat,251,3701HN,ZEIST,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
113,Goes,0113748110,"",Zusterstraat,7,4461JA,GOES,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
114,Middelburg,0118673040,"",Pottenbakkerssingel,10,4331NA,MIDDELBURG,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
115,Terneuzen,0115622220,"",Axelsestraat,68,4537AL,TERNEUZEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
116,Vlissingen,0118430334,"",Badhuisstraat,1,4381LM,VLISSINGEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
117,Alphen aan den Rijn,0172 417 327,"",Concertweg,5,2402JG,ALPHEN AAN DEN RIJN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
118,Barendrecht,0180439004,"",t Vlak,10,2991EP,BARENDRECHT,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
119,Berkel en Rodenrijs,0105110002,"",Wilhelministraat,14,2651DL,BERKEL EN RODENRIJS,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
120,Capelle a/d Yssel,0104502373,"",Slotplein,22,2902HP,Capelle a/d Yssel,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
121,Delft Binnenwatersloot,0152148124,"",Binnenwatersloot,12a,2611BK,Delft,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
122,Delft Papsouwselaan,0152855666,"",Papsouwselaan,123b,2624AK,Delft,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
123,Dordrecht Bamendaweg,0786219200,"",Bamendaweg,40,3319GS,DORDRECHT,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
124,Dordrecht Van Oldenbarneveltplein,0786515230,"",Van Oldenbarneveltplein,73,3317ES,DORDRECHT,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
125,Gorinchem,0183653070,"",Kazerneplein,21,4201MB,GORINCHEM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
126,Gouda,0182551110,"",Van Hogendorpplein,21,2805BM,GOUDA,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
127,Hellevoetsluis,0181338807,"",Westkade,45,3221AV,HELLEVOETSLUIS,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
128,Leiden,0715141428,"",Stationsweg,17,2312AS,LEIDEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
129,Leiderdorp,0712100240,"",Laan van Berendrecht,11a,2352VR,LEIDERDORP,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
130,Leidschendam,0703275959,"",Damplein,16,2265AC,LEIDSCHENDAM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
131,Maassluis,0102540555,"",PC Hooftlaan,8,3142GH,MAASSLUIS,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
132,Naaldwijk,0174200000,"",s-Gravenzandseweg,18,2671JN,NAALDWIJK,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
133,Nootdorp,015 3109491,"",Koningin Julianastraat,24,2631BM,Nootdorp,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
134,Oud Beijerland,0186610050,"",Beijerse Hof,3,3262VR,Oud Beijerland,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
135,Papendrecht,0786416666,"",P S Gerbrandystraat,64,3354BW,PAPENDRECHT,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
136,Ridderkerk,0180497527,"",Irisstraat,4,2981BN,Ridderkerk,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
137,Rijswijk,0703948039,"",Generaal Eisenhouwerplein,4,2284XV,RIJSWIJK,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
138,Schiedam,0104269414,"",Oranjestraat,7,3111AM,SCHIEDAM,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
139,Spijkenisse,0181619000,"",Gorsstraat,16,3201DB,SPIJKENISSE,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
140,Vlaardingen,0104719877,"",Van Hogendorplaan,19a,3135BB,VLAARDINGEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
141,Voorburg,0703864044,"",Koningin Julianalaan,234,2274JR,VOORBURG,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
142,Voorschoten,0715762211,"",Planciusplantsoen,26b,2253TS,VOORSCHOTEN,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
143,Wassenaar,0705115556,"",Oostdorperweg,37,2242NE,WASSENAAR,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
144,Zoetermeer,0793160211,"",van Leeuwenhoeklaan,10,2713RB,ZOETERMEER,2021-10-06 18:29:55,System - import,2021-10-06 18:29:55,System - import,0,0
